city_codes,district_codes,room_number,house_type_codes,year,floor,elevator,plot,condition,EEC_codes,m^2,€/m^2
1,0,3,2,1987.0,0.5,0,0,1,16,75,3493.0
1,2,3,2,2018.0,0.5,0,0,2,11,92.5,3816.0
1,2,3,2,2014.0,-0.5,0,0,2,10,69.5,4201.0
1,3,3,0,1966.0,0.5,1,1,1,14,67,5448.0
1,3,3,0,1966.0,0.75,0,1,2,27,68,4926.0
1,3,3,0,1962.0,0.5,1,1,2,19,69,5812.0
1,3,3,0,1963.0,0.63,1,1,1,34,70,5171.0
1,3,3,0,1960.0,0.67,1,1,1,23,58.5,5453.0
1,3,3,0,1952.0,0.8,0,1,2,19,74,5802.0
1,3,3,0,1962.0,1.0,1,1,2,19,52.5,7486.0
1,4,3,0,2013.0,0.63,1,0,2,10,85.5,4444.0
1,4,3,0,2007.0,0.86,1,1,1,20,78.5,6115.0
1,4,3,0,2015.0,0.56,1,1,2,7,87,6230.0
1,4,3,0,2001.0,0.17,1,1,2,27,74,6014.0
1,7,3,0,2002.0,0.4,1,1,2,25,87.5,4800.0
1,7,3,0,2000.0,0.8,1,1,2,19,87,5977.0
1,7,3,0,2001.0,0.14,1,1,2,9,75.5,4477.0
1,7,3,0,2004.0,0.83,1,1,1,27,85.5,2924.0
1,7,3,0,2005.0,0.5,1,1,2,16,69,4638.0
1,7,3,0,2017.0,0.57,1,1,2,8,69.5,5468.0
1,7,3,0,2005.0,0.33,1,1,1,16,69,4348.0
1,7,3,0,2004.0,0.5,1,1,0,27,80,5150.0
1,7,3,0,2006.0,1.0,1,1,2,17,83.5,4491.0
1,7,3,0,2001.0,1.0,1,1,1,20,64,4844.0
1,7,3,0,2006.0,1.0,1,1,2,16,84,3988.0
1,7,3,0,2003.0,0.5,1,1,1,27,60,4717.0
1,7,3,0,2005.0,1.0,1,1,2,16,63.5,4803.0
1,7,3,0,2004.0,0.86,1,1,2,17,82,3939.0
1,12,3,0,1961.0,0.25,1,1,2,14,67,8537.0
1,12,3,0,1910.0,0.75,0,1,2,27,86.3,11796.0
1,12,3,0,1914.0,1.0,1,1,0,31,91,14945.0
1,18,3,0,1958.0,1.0,0,1,2,27,62,5855.0
1,19,3,0,1959.0,0.75,0,1,1,23,66,4485.0
1,20,3,0,1958.0,0.67,0,0,2,19,59,4814.0
1,20,3,0,1957.0,1.0,0,1,2,34,67,5316.0
1,20,3,0,2021.0,1.0,1,0,2,10,79,5190.0
1,20,3,0,1958.0,1.0,0,1,2,31,64,4906.0
1,20,3,0,1958.0,0.67,0,0,2,19,59,5508.0
1,20,3,0,1960.0,0.75,0,1,1,27,66,4091.0
1,20,3,0,1964.0,1.0,0,1,2,19,75,5000.0
1,20,3,0,1957.0,0.67,0,1,1,34,67,4299.0
1,20,3,0,1956.0,0.33,0,1,2,20,65,5277.0
1,20,3,0,1964.0,0.33,0,1,2,27,60,5500.0
1,20,3,0,2001.0,0.8,1,0,1,34,78.5,4089.0
1,20,3,0,1958.0,1.0,0,1,1,17,50.5,5881.0
1,20,3,0,1960.0,0.5,0,1,2,14,61,5082.0
1,20,3,0,1958.0,0.75,0,1,2,14,67.5,5437.0
1,20,3,0,1960.0,1.0,0,1,2,23,80,5625.0
1,20,3,0,1957.0,0.67,0,0,2,23,84.5,4734.0
1,20,3,0,1959.0,1.0,0,1,2,31,67.5,5541.0
1,20,3,2,1987.0,0.5,0,0,2,20,93,5247.0
1,20,3,0,1962.0,0.75,1,1,2,31,70,5286.0
1,20,3,0,1963.0,1.0,0,0,2,19,52,5746.0
1,20,3,0,1960.0,0.75,0,1,1,14,72,5542.0
1,20,3,0,1958.0,1.0,0,1,2,17,87,5517.0
1,22,3,0,1928.0,0.71,1,1,2,27,123,7114.0
1,22,3,0,1929.0,1.0,1,1,2,23,72.2,8102.0
1,22,3,0,1928.0,0.33,1,1,1,27,60.5,6860.0
1,22,3,0,2010.0,0.33,1,1,2,14,82.5,8061.0
1,22,3,0,1934.0,0.0,1,1,2,27,82.5,7879.0
1,22,3,0,1910.0,0.29,1,1,1,27,85,7235.0
1,22,3,0,1925.0,0.86,1,1,1,27,100,7700.0
1,22,3,0,1927.0,0.67,1,1,2,27,94,8085.0
1,22,3,0,1923.0,0.5,1,1,2,5,111,8659.0
